GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Total: - Less than $100
HD02_VD02,Margin of Error; Total: - Less than $100
HD01_VD03,Estimate; Total: - $100 to $199
HD02_VD03,Margin of Error; Total: - $100 to $199
HD01_VD04,Estimate; Total: - $200 to $299
HD02_VD04,Margin of Error; Total: - $200 to $299
HD01_VD05,Estimate; Total: - $300 to $399
HD02_VD05,Margin of Error; Total: - $300 to $399
HD01_VD06,Estimate; Total: - $400 to $499
HD02_VD06,Margin of Error; Total: - $400 to $499
HD01_VD07,Estimate; Total: - $500 to $599
HD02_VD07,Margin of Error; Total: - $500 to $599
HD01_VD08,Estimate; Total: - $600 to $699
HD02_VD08,Margin of Error; Total: - $600 to $699
HD01_VD09,Estimate; Total: - $700 to $799
HD02_VD09,Margin of Error; Total: - $700 to $799
HD01_VD10,Estimate; Total: - $800 to $899
HD02_VD10,Margin of Error; Total: - $800 to $899
HD01_VD11,Estimate; Total: - $900 to $999
HD02_VD11,Margin of Error; Total: - $900 to $999
HD01_VD12,"Estimate; Total: - $1,000 to $1,499"
HD02_VD12,"Margin of Error; Total: - $1,000 to $1,499"
HD01_VD13,"Estimate; Total: - $1,500 to $1,999"
HD02_VD13,"Margin of Error; Total: - $1,500 to $1,999"
HD01_VD14,"Estimate; Total: - $2,000 or more"
HD02_VD14,"Margin of Error; Total: - $2,000 or more"
HD01_VD15,Estimate; Total: - No cash rent
HD02_VD15,Margin of Error; Total: - No cash rent
