GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Male:
HD02_VD02,Margin of Error; Male:
HD01_VD03,Estimate; Male: - Never married
HD02_VD03,Margin of Error; Male: - Never married
HD01_VD04,Estimate; Male: - Ever married:
HD02_VD04,Margin of Error; Male: - Ever married:
HD01_VD05,Estimate; Male: - Ever married: - Married last year
HD02_VD05,Margin of Error; Male: - Ever married: - Married last year
HD01_VD06,Estimate; Male: - Ever married: - Not married last year
HD02_VD06,Margin of Error; Male: - Ever married: - Not married last year
HD01_VD07,Estimate; Female:
HD02_VD07,Margin of Error; Female:
HD01_VD08,Estimate; Female: - Never married
HD02_VD08,Margin of Error; Female: - Never married
HD01_VD09,Estimate; Female: - Ever married:
HD02_VD09,Margin of Error; Female: - Ever married:
HD01_VD10,Estimate; Female: - Ever married: - Married last year
HD02_VD10,Margin of Error; Female: - Ever married: - Married last year
HD01_VD11,Estimate; Female: - Ever married: - Not married last year
HD02_VD11,Margin of Error; Female: - Ever married: - Not married last year
