GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05
Id,Id2,Geography,Estimate; Total living in area 1 year ago:,Margin of Error; Total living in area 1 year ago:,Estimate; Total living in area 1 year ago: - Same house,Margin of Error; Total living in area 1 year ago: - Same house,Estimate; Total living in area 1 year ago: - Moved within same county,Margin of Error; Total living in area 1 year ago: - Moved within same county,Estimate; Total living in area 1 year ago: - Moved to different county within same state,Margin of Error; Total living in area 1 year ago: - Moved to different county within same state,Estimate; Total living in area 1 year ago: - Moved to different state,Margin of Error; Total living in area 1 year ago: - Moved to different state
0500000US01089,01089,"Madison County, Alabama",2161,446,1559,393,414,258,81,97,107,109
0500000US01097,01097,"Mobile County, Alabama",3579,568,2836,646,483,432,240,267,20,32
0500000US02020,02020,"Anchorage Municipality, Alaska",18568,1567,13501,1454,3426,1044,1110,269,531,232
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",6262,788,4434,693,1341,519,279,104,208,154
0500000US02110,02110,"Juneau City and Borough, Alaska",3214,472,2651,468,375,206,132,112,56,54
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",4058,465,3053,487,661,323,251,182,93,86
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",3753,577,2867,412,316,156,210,104,360,415
0500000US04001,04001,"Apache County, Arizona",51566,960,47418,992,1890,856,892,584,1366,554
0500000US04003,04003,"Cochise County, Arizona",1477,310,883,334,373,228,180,157,41,55
0500000US04005,04005,"Coconino County, Arizona",35921,1180,31082,1107,2559,759,1725,721,555,482
0500000US04007,04007,"Gila County, Arizona",7918,394,7209,543,517,477,125,115,67,91
0500000US04009,04009,"Graham County, Arizona",4690,583,4413,553,227,200,43,42,7,12
0500000US04012,04012,"La Paz County, Arizona",2240,318,1763,335,382,192,28,35,67,56
0500000US04013,04013,"Maricopa County, Arizona",66440,2388,51145,2730,12042,1608,2051,411,1202,352
0500000US04015,04015,"Mohave County, Arizona",3007,550,2413,510,274,161,168,178,152,97
0500000US04017,04017,"Navajo County, Arizona",44748,1089,40197,1438,2836,987,1337,536,378,163
0500000US04019,04019,"Pima County, Arizona",31761,1835,24605,1720,6192,1490,502,361,462,208
0500000US04021,04021,"Pinal County, Arizona",18345,1046,15184,1221,2100,934,853,438,208,129
0500000US04025,04025,"Yavapai County, Arizona",4333,959,2851,693,777,390,626,644,79,94
0500000US04027,04027,"Yuma County, Arizona",2549,531,2022,456,345,209,48,46,134,110
0500000US05007,05007,"Benton County, Arkansas",3349,539,2502,508,709,397,66,101,72,81
0500000US05119,05119,"Pulaski County, Arkansas",1443,419,931,265,87,81,383,294,42,62
0500000US05143,05143,"Washington County, Arkansas",1863,452,1170,278,572,339,0,158,121,96
0500000US06001,06001,"Alameda County, California",7901,1064,6117,950,1257,480,116,84,411,270
0500000US06007,06007,"Butte County, California",2358,567,1451,310,726,348,181,135,0,158
0500000US06013,06013,"Contra Costa County, California",4337,855,3296,835,431,232,325,195,285,203
0500000US06019,06019,"Fresno County, California",8709,1360,7133,1289,1338,424,128,74,110,119
0500000US06023,06023,"Humboldt County, California",8076,574,6672,596,1240,419,154,118,10,14
0500000US06025,06025,"Imperial County, California",2914,604,2395,573,332,343,75,65,112,96
0500000US06029,06029,"Kern County, California",8814,1165,6881,1025,1298,629,475,282,160,97
0500000US06031,06031,"Kings County, California",1979,328,1626,297,279,173,74,56,0,158
0500000US06037,06037,"Los Angeles County, California",49942,2906,41338,2463,5813,1137,2188,868,603,224
0500000US06045,06045,"Mendocino County, California",4162,597,3421,634,588,318,108,114,45,56
0500000US06053,06053,"Monterey County, California",4222,1061,3646,961,392,492,144,97,40,42
0500000US06059,06059,"Orange County, California",12099,1324,10891,1222,857,338,235,147,116,71
0500000US06061,06061,"Placer County, California",3106,522,2569,512,310,240,216,153,11,12
0500000US06065,06065,"Riverside County, California",21353,2366,17005,1928,3202,1250,654,261,492,275
0500000US06067,06067,"Sacramento County, California",12738,1650,9756,1660,2116,607,574,256,292,217
0500000US06071,06071,"San Bernardino County, California",21757,2576,17051,2193,2827,1039,802,440,1077,571
0500000US06073,06073,"San Diego County, California",20406,1827,15398,1547,3480,1170,702,369,826,304
0500000US06075,06075,"San Francisco County, California",4059,764,3395,679,294,172,193,133,177,120
0500000US06077,06077,"San Joaquin County, California",7880,1562,5378,1195,1921,760,563,332,18,19
0500000US06079,06079,"San Luis Obispo County, California",2794,574,2362,559,250,175,121,86,61,51
0500000US06081,06081,"San Mateo County, California",2972,842,2179,486,624,650,115,96,54,62
0500000US06083,06083,"Santa Barbara County, California",4283,712,3526,642,660,342,97,113,0,158
0500000US06085,06085,"Santa Clara County, California",8702,1354,7374,1255,995,360,191,141,142,107
0500000US06089,06089,"Shasta County, California",3583,697,2857,644,511,310,130,100,85,87
0500000US06093,06093,"Siskiyou County, California",1189,279,995,259,118,75,13,22,63,72
