GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Women who had a birth in the past 12 months:,Margin of Error; Women who had a birth in the past 12 months:,Estimate; Women who had a birth in the past 12 months: - Now married (including separated and spouse absent),Margin of Error; Women who had a birth in the past 12 months: - Now married (including separated and spouse absent),"Estimate; Women who had a birth in the past 12 months: - Unmarried (never married, widowed and divorced):","Margin of Error; Women who had a birth in the past 12 months: - Unmarried (never married, widowed and divorced):","Estimate; Women who had a birth in the past 12 months: - Unmarried (never married, widowed and divorced): - Partner in an unmarried partner household","Margin of Error; Women who had a birth in the past 12 months: - Unmarried (never married, widowed and divorced): - Partner in an unmarried partner household","Estimate; Women who had a birth in the past 12 months: - Unmarried (never married, widowed and divorced): - Not an unmarried partner","Margin of Error; Women who had a birth in the past 12 months: - Unmarried (never married, widowed and divorced): - Not an unmarried partner",Estimate; Women who did not have a birth in the past 12 months:,Margin of Error; Women who did not have a birth in the past 12 months:,Estimate; Women who did not have a birth in the past 12 months: - Now married (including separated and spouse absent),Margin of Error; Women who did not have a birth in the past 12 months: - Now married (including separated and spouse absent),"Estimate; Women who did not have a birth in the past 12 months: - Unmarried (never married, widowed and divorced):","Margin of Error; Women who did not have a birth in the past 12 months: - Unmarried (never married, widowed and divorced):","Estimate; Women who did not have a birth in the past 12 months: - Unmarried (never married, widowed and divorced): - Partner in an unmarried partner household","Margin of Error; Women who did not have a birth in the past 12 months: - Unmarried (never married, widowed and divorced): - Partner in an unmarried partner household","Estimate; Women who did not have a birth in the past 12 months: - Unmarried (never married, widowed and divorced): - Not an unmarried partner","Margin of Error; Women who did not have a birth in the past 12 months: - Unmarried (never married, widowed and divorced): - Not an unmarried partner"
0500000US01003,01003,"Baldwin County, Alabama",41561,869,1812,845,1469,888,343,330,62,104,281,306,39749,1246,22477,1624,17272,1587,3484,1057,13788,1816
0500000US01015,01015,"Calhoun County, Alabama",26613,881,1715,594,954,423,761,501,113,142,648,501,24898,1107,12556,1316,12342,1192,1107,606,11235,1399
0500000US01043,01043,"Cullman County, Alabama",18353,984,907,435,702,406,205,195,0,273,205,195,17446,1027,10005,998,7441,1208,1522,618,5919,1101
0500000US01049,01049,"DeKalb County, Alabama",16810,520,946,515,700,469,246,344,0,273,246,344,15864,750,9418,1220,6446,1051,287,203,6159,1050
0500000US01051,01051,"Elmore County, Alabama",17471,866,937,446,686,358,251,208,9,25,242,203,16534,968,9435,1129,7099,1228,688,410,6411,1230
0500000US01055,01055,"Etowah County, Alabama",22435,1539,1733,628,1080,566,653,403,171,280,482,329,20702,1389,12077,870,8625,1523,747,434,7878,1462
0500000US01069,01069,"Houston County, Alabama",24406,306,1706,476,1014,353,692,311,114,137,578,293,22700,521,11544,715,11156,670,1059,380,10097,697
0500000US01073,01073,"Jefferson County, Alabama",163702,2209,8533,1649,4059,1065,4474,1265,550,418,3924,1154,155169,2755,68329,3065,86840,3862,5563,1247,81277,3832
0500000US01077,01077,"Lauderdale County, Alabama",20788,1037,1059,542,813,507,246,229,14,26,232,228,19729,1195,9152,1155,10577,1477,1116,590,9461,1346
0500000US01081,01081,"Lee County, Alabama",36348,1330,1599,527,1263,469,336,265,138,229,198,152,34749,1474,12874,1316,21875,1941,2138,895,19737,2182
0500000US01083,01083,"Limestone County, Alabama",18811,435,422,297,364,277,58,84,0,273,58,84,18389,495,9217,1149,9172,1219,740,431,8432,1267
0500000US01089,01089,"Madison County, Alabama",83229,1936,4834,1385,2722,840,2112,947,574,552,1538,801,78395,2075,41373,2193,37022,2322,2466,781,34556,2313
0500000US01095,01095,"Marshall County, Alabama",19862,485,1294,673,1020,610,274,320,9,19,265,319,18568,750,9056,990,9512,1166,648,479,8864,1245
0500000US01097,01097,"Mobile County, Alabama",101832,2300,6093,1219,3067,973,3026,948,0,273,3026,948,95739,2231,44274,2998,51465,2644,6048,1552,45417,2775
0500000US01101,01101,"Montgomery County, Alabama",54779,1947,4107,1167,1867,723,2240,926,860,604,1380,674,50672,1926,20041,1723,30631,2549,2702,981,27929,2646
